Shop,Country,Manufacturer,Model,Assembled,Build envelope(W x D x H mm),Image,Technology,Price(US$),Lead time
Makex,China,MakeX,Migo Basic with Laser Engraver option,Yes,100x120x120,,FFF,$ 149.00,-
Makex,China,MakeX,Migo with Laser Engraver option,Yes,100x120x120,,FFF,$ 249.00,-
New Matter,USA,New Matter,MOD-t  3D printe,Yes,150x100x125,,FFF,$ 249.00,-
Cobblebot,USA,Cobblebot,Cobblebot 3D Printer,Yes,381x381x381,,FFF,$ 299.00,-
Makex,China,MakeX,Migo L with Laser Engraver option,Yes,150x150x150,,FFF,$ 319.00,-
Printrbot,USA,Printrbot,New Simple Makers Kit,DIY kit,102x102x114,,FFF,$ 349.00,1-2 business dayes from order date
Portabee,Singapore,Portabee,Portabee Kit,DIY kit,120x120x120,,FFF,$ 396.00,1 week
Store Open Electronics,Italy,Store Open Electronics,3Drag-3D-printer-kit,DIY kit,200x200x200,,FFF,$ 410.00,in stock
Mixshop,Canada,Mixshop,Mix G1 Plus Kit,DIY kit,160x160x160,,FFF,$ 420.00,3 weeks
Mixshop,Canada,Mixshop,Prusa Mendel Kit,DIY kit,195x195x140 ,,FFF,$ 445.00,3 weeks
Invent Apart,USA,Invent Apart,RigidBot,DIY kit,254x254x254,,FFF,$ 447.00,1-2 business dayes from order date
Jelwek,Poland,Jelwek,Mark34,DIY kit,140x155x105,,,$ 447.00,14 days
Weistek,China,Weistek,IdeaWerk,Yes,150x150x140,,FFF,$ 450.00,-
GADGETS3D,Poland,GADGETS3D,RepRap G3D,DIY kit,200x200x200,,FFF,$ 499.00,out of stock
Plastic Scribbler,USA,Plastic Scribbler,Asterid Model 1000S,Yes,203x203x203,,FFF,$ 499.00,2-3weeks
XYZprinting,TaiWan,XYZprinting,XYZprinting da Vinci 1.0,Yes,200x200x200,,FFF,$ 499.00,-
Makerfarm,USA,Makerfarm,"Prusa 8 ""i3v Kit",DIY kit,203x203x203,,FFF,$ 540.00,5 business days
Conrad,Netherlands,Conrad,Velleman K8200,DIY kit,200x200x200,,FFF,$ 549.00,in stock
eMotion Tech,France,eMotion Tech,Prusa Mendel I3,DIY kit,-,,FFF,$ 550.00,-
Mbot-3D,China,Mbot-3D,MBot Cube 3D Printer Kit,DIY kit,200x200x200,,FFF,$ 559.00,in stock
