Manufacturer,Model,Mode,Power (W),AM Process,General Material Type,Specific Material Type,X (in),Y (in),Z (in),Price (USD),Availability
Click for Details,3BOTS 3D Engineering,KONG3D,Dual,,Material Extrusion (e.g. FDM),Polymer,,38.19,38.19,41.34,Price not reported,
Click for Details,3BOTS 3D Engineering,KONG3D,Single,,Material Extrusion (e.g. FDM),Polymer,,40.16,40.16,41.34,Price not reported,
Click for Details,3D Platform,100 Series WorkTable,,,Material Extrusion (e.g. FDM),Polymer,"PLA, ABS, PC, PA, PVA, HIPS",39.4,39.4,19.7,"Less than $49,999",
Click for Details,3D Platform,200 Series Workbench Classic,,,Material Extrusion (e.g. FDM),Polymer,"PLA, ABS, PC, PA, PVA, HIPS",39.4,39.4,19.7,"Less than $49,999",
Click for Details,3D Platform,300 Series Workbench Pro,,,Material Extrusion (e.g. FDM),Polymer,"PLA, ABS, PC, PA, PVA, HIPS",39.4,39.4,27.55,"Less than $49,999",
Click for Details,3D Platform,400 Series Workbench Xtreme,,,Material Extrusion (e.g. FDM),Polymer,"PLA, ABS, PC, PA, PVA, HIPS",39.4,59,27.55,"Less than $49,999",
Click for Details,3D Printerworks,HT 5800,,,Material Extrusion (e.g. FDM),Polymer,,17.99,17.99,17.99,"Less than $49,999",
Click for Details,3D Systems,DMP Flex 100,,100,Powder Bed Fusion (e.g. SLS),Metal,"Cobalt, Steel",3.94,3.94,3.15,"$100,000 - $249,999",
Click for Details,3D Systems,FabPro 1000,,,Vat Photopolymerization (e.g. SLA),Polymer,Resin,4.92,2.76,4.72,"Less than $49,999",
Click for Details,3D Systems,Figure 4 Production,,,Vat Photopolymerization (e.g. SLA),Polymer,,4.91,2.76,13.62,Price not reported,
Click for Details,3D Systems,Figure 4 Standalone,,,Vat Photopolymerization (e.g. SLA),Polymer,,4.91,2.76,7.87,"Less than $49,999",
Click for Details,3D Systems,ProJet 6000 HD,HD,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, ABS-like/PP-like, PC-like, PP-like",10,10,10,"$100,000 - $249,999",
Click for Details,3D Systems,ProJet 6000 HD,UHD,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, ABS-like/PP-like, PC-like, PP-like",10,10,10,"$100,000 - $249,999",
Click for Details,3D Systems,ProJet 6000 HD,XHD,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, ABS-like/PP-like, PC-like, PP-like",10,10,10,"$100,000 - $249,999",
Click for Details,3D Systems,ProJet 7000 HD,HD,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, ABS-like/PP-like, PC-like, PP-like",15,15,10,"$250,000 - $499,999",
Click for Details,3D Systems,ProJet 7000 HD,UHD,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, ABS-like/PP-like, PC-like, PP-like",15,15,10,"$250,000 - $499,999",
Click for Details,3D Systems,ProJet 7000 HD,XHD,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, ABS-like/PP-like, PC-like, PP-like",15,15,10,"$250,000 - $499,999",
Click for Details,3D Systems,ProJet CJP 260Plus,,,Binder Jetting,Composite,Gypsum,9.29,7.28,5,"Less than $49,999",
Click for Details,3D Systems,ProJet CJP 360,Monochrome,,Binder Jetting,Composite,Gypsum,8,10,8,"Less than $49,999",
Click for Details,3D Systems,ProJet CJP 460Plus,Full CMY,,Binder Jetting,Composite,Gypsum,8,10,8,"Less than $49,999",
Click for Details,3D Systems,ProJet CJP 660Pro,Full CMYK,,Binder Jetting,Composite,Gypsum,10,15,8,"$50,000 - $99,999",
Click for Details,3D Systems,ProJet CJP 860Pro,Full CMYK,,Binder Jetting,Composite,Gypsum,20,15,9,"$100,000 - $249,999",
Click for Details,3D Systems,ProJet MJP 2500,HD - High Definition,,Material Jetting,Polymer,,11.6,8.3,5.6,Price not reported,
Click for Details,3D Systems,ProJet MJP 2500 IC,HD,,Material Jetting,Wax,Wax-like,11.61,8.31,5.59,Price not reported,
