Country,Price,Price
Argentina,Less than $49.999,2
Australia,Less than $49.999,3
Belgium,Less than $49.999,1
Brazil,Less than $49.999,1
Canada,Less than $49.999,12
China,Less than $49.999,21
Cyprus,Less than $49.999,1
Czech Republic,Less than $49.999,2
Denmark,Less than $49.999,1
Finland,$50.000 - $99.999,1
Finland,Less than $49.999,2
France,Less than $49.999,5
Germany,Less than $49.999,9
Hungary,Less than $49.999,1
India,Less than $49.999,1
Israel,$50.000 - $99.999,1
Israel,Less than $49.999,1
Italy,Less than $49.999,22
Italy,Price not reported,5
Japan,$50.000 - $99.999,1
Japan,Less than $49.999,1
Lebanon,Less than $49.999,1
Malaysia,Less than $49.999,3
Netherlands,Less than $49.999,16
New Zealand,Less than $49.999,1
Poland,Less than $49.999,13
Portugal,Less than $49.999,1
Singapore,Less than $49.999,3
South Korea,Less than $49.999,3
Spain,Less than $49.999,5
Switzerland,Less than $49.999,1
Taiwan,Less than $49.999,7
United Kingdom,Less than $49.999,13
United States,$100.000 - $249.999,26
United States,$250.000 - $499.999,15
United States,$50.000 - $99.999,26
United States,$500.000 - $999.999,8
United States,Less than $49.999,136
United States,Price not reported,9
