,Shop,Country,Manufacturer,Model,Assembled,Build envelope(W x D x H mm),Image,Technology,Price(US$),Lead time,lat,long,Unnamed: 0,Mode,Power (W),AM Process,General Material Type,Specific Material Type,X (in),Y (in),Z (in),Price (USD),Availability
0,Makex,China,MakeX,Migo Basic with Laser Engraver option,Yes,100x120x120,,FFF,$ 149.00,-,35.86166,104.195397,,,,,,,,,,,
1,Makex,China,MakeX,Migo with Laser Engraver option,Yes,100x120x120,,FFF,$ 249.00,-,35.86166,104.195397,,,,,,,,,,,
2,New Matter,United States,New Matter,MOD-t  3D printe,Yes,150x100x125,,FFF,$ 249.00,-,37.09024,-95.712891,,,,,,,,,,,
3,Cobblebot,United States,Cobblebot,Cobblebot 3D Printer,Yes,381x381x381,,FFF,$ 299.00,-,37.09024,-95.712891,,,,,,,,,,,
4,Makex,China,MakeX,Migo L with Laser Engraver option,Yes,150x150x150,,FFF,$ 319.00,-,35.86166,104.195397,,,,,,,,,,,
5,Printrbot,United States,Printrbot,New Simple Makers Kit,DIY kit,102x102x114,,FFF,$ 349.00,1-2 business dayes from order date,37.09024,-95.712891,,,,,,,,,,,
6,Portabee,Singapore,Portabee,Portabee Kit,DIY kit,120x120x120,,FFF,$ 396.00,1 week,1.352083,103.819836,,,,,,,,,,,
7,Store Open Electronics,Italy,Store Open Electronics,3Drag-3D-printer-kit,DIY kit,200x200x200,,FFF,$ 410.00,in stock,41.87194,12.56738,,,,,,,,,,,
8,Mixshop,Canada,Mixshop,Mix G1 Plus Kit,DIY kit,160x160x160,,FFF,$ 420.00,3 weeks,56.130366,-106.34677099999999,,,,,,,,,,,
9,Mixshop,Canada,Mixshop,Prusa Mendel Kit,DIY kit,195x195x140 ,,FFF,$ 445.00,3 weeks,56.130366,-106.34677099999999,,,,,,,,,,,
10,Invent Apart,United States,Invent Apart,RigidBot,DIY kit,254x254x254,,FFF,$ 447.00,1-2 business dayes from order date,37.09024,-95.712891,,,,,,,,,,,
11,Jelwek,Poland,Jelwek,Mark34,DIY kit,140x155x105,,,$ 447.00,14 days,51.919438,19.145135999999997,,,,,,,,,,,
12,Weistek,China,Weistek,IdeaWerk,Yes,150x150x140,,FFF,$ 450.00,-,35.86166,104.195397,,,,,,,,,,,
13,GADGETS3D,Poland,GADGETS3D,RepRap G3D,DIY kit,200x200x200,,FFF,$ 499.00,out of stock,51.919438,19.145135999999997,,,,,,,,,,,
14,Plastic Scribbler,United States,Plastic Scribbler,Asterid Model 1000S,Yes,203x203x203,,FFF,$ 499.00,2-3weeks,37.09024,-95.712891,,,,,,,,,,,
15,XYZprinting,Taiwan,XYZprinting,XYZprinting da Vinci 1.0,Yes,200x200x200,,FFF,$ 499.00,-,23.69781,120.96051499999999,,,,,,,,,,,
16,Makerfarm,United States,Makerfarm,"Prusa 8 ""i3v Kit",DIY kit,203x203x203,,FFF,$ 540.00,5 business days,37.09024,-95.712891,,,,,,,,,,,
17,Conrad,Netherlands,Conrad,Velleman K8200,DIY kit,200x200x200,,FFF,$ 549.00,in stock,52.132633,5.291266,,,,,,,,,,,
18,eMotion Tech,France,eMotion Tech,Prusa Mendel I3,DIY kit,-,,FFF,$ 550.00,-,46.227638,2.213749,,,,,,,,,,,
19,Mbot-3D,China,Mbot-3D,MBot Cube 3D Printer Kit,DIY kit,200x200x200,,FFF,$ 559.00,in stock,35.86166,104.195397,,,,,,,,,,,
20,Eventorbot,United States,Eventorbot,Eventorbot 3D printer,DIY kit,203x254x152,,FFF,$ 580.00,-,37.09024,-95.712891,,,,,,,,,,,
21,Portabee,Singapore,Portabee,Portabee Go,Yes,120x160x120,,FFF,$ 595.00,10 weeks,1.352083,103.819836,,,,,,,,,,,
22,Solidoodle,United States,Solidoodle,Solidoodle 4,Yes,203x203x203,,FFF,$ 599.00,3-5 days,37.09024,-95.712891,,,,,,,,,,,
23,Pirx,Poland,Pirx,Pirx,Yes,160x250x150,,FFF,$ 599.00,-7 days,51.919438,19.145135999999997,,,,,,,,,,,
24,Printrbot,United States,Printrbot,Assembled Simple,Yes,150x150x150,,FFF,$ 599.00,1-2 business days,37.09024,-95.712891,,,,,,,,,,,
25,Mostfun,China,mostfun,MostFun Sail 3D,Yes,120120120,,FFF,$ 614.00,-,35.86166,104.195397,,,,,,,,,,,
26,RepRapPro,United Kingdom,RepRapPro,Huxley Full Kit,DIY kit,140x140x110,,FFF,$ 637.00,2-5days,55.378051,-3.435973,,,,,,,,,,,
27,XYZprinting,Taiwan,XYZprinting,DA VINCI 2.0 Duo,Yes,150X200X200,,FFF,$ 649.00,-,23.69781,120.96051499999999,,,,,,,,,,,
28,Blue Eagle Labs,United States,Blue Eagle Labs,Kossel Clear PLA Kit,DIY kit,279x279x279,,FFF,$ 650.00, 1 to 2 weeks,37.09024,-95.712891,,,,,,,,,,,
29,Zion3D,United States,Zion3D,Zion 8,Yes,203x203x203,,FFF,$ 659.00,2-3 Weeks,37.09024,-95.712891,,,,,,,,,,,
30,CraftUnique,Hungary,CraftUnique,CraftBot 3D Printer,Yes,250x200x200,,FFF,$ 670.00,8 weeks,47.162494,19.503304,,,,,,,,,,,
31,3D Stuffmaker,Australia,3D Stuffmaker,EVOLUTION Gen2  kit,DIY kit,200x200x200,,FFF,$ 695.00,in stock,-25.274398,133.775136,,,,,,,,,,,
32,Stellamove,South Korea,Stellamove,Rapy 3D Printer,Yes,170x170x150,,FFF,$ 699.00,Pre-order,35.907757000000004,127.766922,,,,,,,,,,,
33,Flashforge,China,Flashforge,Creator 2,Yes,225X145X150,,FFF,$ 700.00,2-4 days,35.86166,104.195397,,,,,,,,,,,
34,RepRapPro,United Kingdom,RepRapPro,Ormerod Kit 2,DIY kit,200x200x200,,FFF,$ 747.00,2-5days,55.378051,-3.435973,,,,,,,,,,,
35,NW RepRap,United States,NW RepRap,Prusa i3 Complete Kit ,DIY kit,190x190x190,,FFF,$ 749.00,-,37.09024,-95.712891,,,,,,,,,,,
36,ZeGo,United States,zegorobotics,Zego Classic Assembly kit,DIY kit,300(diameter)x230,,FFF,$ 749.00,14 days,37.09024,-95.712891,,,,,,,,,,,
37,Invent Apart,United States,Invent Apart,RigidBot Big,Yes,300x400x254,,FFF,$ 749.00,-,37.09024,-95.712891,,,,,,,,,,,
38,Blue Eagle Labs,United States,Blue Eagle Labs,Kossel Clear ABS Kit,DIY kit,200x200x279,,FFF,$ 750.00, 1,37.09024,-95.712891,,,,,,,,,,,
39,Mbot-3D,China,Mbot-3D,MBot Cube 3D printer,Yes,200x200x200,,FFF,$ 799.00,1 week,35.86166,104.195397,,,,,,,,,,,
40,Solidoodle,United States,Solidoodle,"Solidoodle 3D Printer, 3nd Generation",Yes,203x203x203 ,,FFF,$ 799.00,3-5 days,37.09024,-95.712891,,,,,,,,,,,
41,MOTA,United States,MOTA,MOTA 3D Printe,Yes,165x155x155,,FFF,$ 799.00,-,37.09024,-95.712891,,,,,,,,,,,
42,Robo 3D,United States,RoBo 3D,"RoBo 3D ""ABS+PLA Model"" Fully Assembled",Yes,254x229x203,,FFF,$ 799.00,2-3 weeks,37.09024,-95.712891,,,,,,,,,,,
43,Makemendel,India,Makemendel,RapidBot 3.0 Kit,DIY kit,220x220x165,,FFF,$ 799.00,2-3 days,20.593684,78.96288,,,,,,,,,,,
44,WillyBot Cafe,South Korea,Backho (White Tiger) company,Willybot 1.3,DIY kit,-,,FFF,$ 800.00,7 days,35.907757000000004,127.766922,,,,,,,,,,,
45,Reprapsource,Germany,Reprapsource,Prusa i3 Kit (5 years reprapsource edition),DIY kit,-,,FFF,$ 800.00,2-3 weeks,51.165690999999995,10.451526,,,,,,,,,,,
46,WASP,Italy,WASP,"DeltaWASP Clay Kit (available for DeltaWASP 2040, DeltaWASP 4070 and DeltaWASP 60100)",Yes,-,,LDM,$ 850.00,2 weeks,41.87194,12.56738,,,,,,,,,,,
47,Mojreprap,Poland,Mojreprap,Profabb GATE LE DIY Kit,DIY kit,190x220x230,,FFF,$ 855.00,in stock,51.919438,19.145135999999997,,,,,,,,,,,
48,Eckertech,Canada,Eckertech,ecksbot 2014 DIY kit,DIY kit,200x200x135,,FFF,$ 870.00,in stock,56.130366,-106.34677099999999,,,,,,,,,,,
49,PEARL,Germany,PEARL,FreeSculpt 3D-Drucker EX1-Basic,Yes,225x145x150,,FFF,$ 872.00,14 days,51.165690999999995,10.451526,,,,,,,,,,,
50,PP3DP,China,PP3DP,UP! mini,Yes,120x120x120,,FFF,$ 899.00,7 days,35.86166,104.195397,,,,,,,,,,,
51,Deezmaker,United States,Deezmaker,Bukito Portable Mini Printer Kit,DIY kit,140x150x125,,FFF,$ 899.00,In stock,37.09024,-95.712891,,,,,,,,,,,
52,Active 3D,United Kingdom,Active 3D,Active-X1,DIY kit,270x220x220,,FFF,$ 899.00,in stock,55.378051,-3.435973,,,,,,,,,,,
53,3D Botic,United States,3D Botic,MendelBot MM152 DIY Kit,DIY kit,-,,FFF,$ 899.00,in stock,37.09024,-95.712891,,,,,,,,,,,
54,RepRapPro,United Kingdom,RepRapPro,Tricolour Mendel,DIY kit,210x190x140,,FFF,$ 918.00,2-5days,55.378051,-3.435973,,,,,,,,,,,
55,Hardcotton,Australia,Hardcotton,Hardcotton SLA  3D  printer,Yes,140x140x200,,SLA,$ 950.00,-,-25.274398,133.775136,,,,,,,,,,,
56,Flashforge,China,Flashforge,Creator,Yes,225X145X150,,FFF,$ 977.00,2-4 days,35.86166,104.195397,,,,,,,,,,,
57,PEARL,Germany,PEARL,FreeSculpt 3D-Drucker EX1-Plus,Yes,225x145x150,,FFF,$ 998.00,14 days,51.165690999999995,10.451526,,,,,,,,,,,
58,Tinkerine Studio,Canada,Tinkerine Studio,Litto 3D printer,DIY kit,135x120x175,,FFF,$ 999.00,2-4 weeks,56.130366,-106.34677099999999,,,,,,,,,,,
59,Solidoodle,United States,Solidoodle,Solidoodle G4,Yes,203x203x203,,FFF,$ 999.00,In Stock,37.09024,-95.712891,,,,,,,,,,,
60,mUVe 3D LLC,United States,mUVe ,mUVe 1 DLP,DIY kit,128X128X80,,DLP,$ 999.00,3-4 weeks,37.09024,-95.712891,,,,,,,,,,,
61,3D Systems,United States,3D Systems,Cube 3,Yes,153x153x153,,FFF,$ 999.00,-,37.09024,-95.712891,,,,,,,,,,,
62,QSQM Corporation,China,QSQM Corporation,New Uncia ,Yes,102x77x180,,DLP,$ 999.00,1 week,35.86166,104.195397,,,,,,,,,,,
63,Mbot-3D,China,Mbot-3D,MBot Grid II,Yes,250x220x190,,FFF,$ 999.00,2 weeks,35.86166,104.195397,,,,,,,,,,,
